Age,State,Insurance Type,Annual Premium (AUD),Claim Amount (AUD),Claim Status,Policy Start Date,Policy End Date,Product Tier,Payment Frequency,Risk Score
68,NT,Home,4668.45,13852.8,Approved,15-04-2023,14-04-2024,Gold,Annually,0.78
31,VIC,Car,1308.97,664.46,Approved,19-06-2024,19-06-2025,Premium,Quarterly,0.37
38,VIC,Home,1878.06,1474.42,Pending,16-08-2023,15-08-2024,Basic,Monthly,0.52
62,NSW,Car,931.17,1271.91,Approved,25-12-2023,24-12-2024,Gold,Annually,0.74
37,WA,Home,783.73,1111.13,Approved,24-06-2024,24-06-2025,Standard,Quarterly,0.56
63,ACT,Home,4272.54,13843.29,Rejected,25-04-2023,24-04-2024,Gold,Annually,0.67
28,SA,Car,3425.32,2573.46,Rejected,23-06-2024,23-06-2025,Basic,Monthly,0.19
47,NT,Car,3257.27,6279.26,Approved,22-06-2023,21-06-2024,Premium,Annually,0.59
47,VIC,Home,998.86,885.52,Approved,29-11-2024,29-11-2025,Premium,Annually,0.33
27,NT,Life,3870.04,3680.84,Rejected,02-12-2024,02-12-2025,Standard,Quarterly,0.29
55,SA,Travel,1346.44,3141.12,Approved,11-04-2023,10-04-2024,Gold,Annually,0.58
21,TAS,Travel,1109.46,528.73,Approved,11-04-2023,10-04-2024,Basic,Monthly,0.11
35,ACT,Life,4721.2,6223.54,Approved,26-06-2024,26-06-2025,Basic,Quarterly,0.4
36,VIC,Car,2594.37,3977.33,Approved,11-03-2023,10-03-2024,Standard,Monthly,0.5
42,QLD,Car,4496.9,3638.62,Approved,09-03-2024,09-03-2025,Premium,Annually,0.6
20,NT,Home,3221.92,552.37,Approved,07-05-2023,06-05-2024,Basic,Quarterly,0.17
71,VIC,Car,1525.26,4584.21,Approved,29-05-2024,29-05-2025,Gold,Annually,0.91
39,WA,Home,4005.53,5693.47,Rejected,05-08-2024,05-08-2025,Standard,Monthly,0.41
32,ACT,Car,1432.7,2816.7,Approved,14-04-2024,14-04-2025,Standard,Monthly,0.45
37,SA,Life,3432.57,7232.35,Rejected,29-04-2023,28-04-2024,Premium,Annually,0.59
69,TAS,Travel,2184.98,5814.42,Rejected,02-02-2023,02-02-2024,Gold,Annually,0.61
33,SA,Car,3293.6,5113.08,Approved,04-09-2023,03-09-2024,Basic,Monthly,0.56
48,ACT,Life,3354.45,6883.59,Pending,14-11-2024,14-11-2025,Premium,Annually,0.46
20,ACT,Life,5160.1,2600.19,Rejected,04-03-2024,04-03-2025,Standard,Quarterly,0.11
77,NT,Car,4184.72,13798.1,Approved,12-08-2023,11-08-2024,Gold,Quarterly,0.85
33,NT,Home,3232.85,5047.3,Approved,12-05-2024,12-05-2025,Basic,Quarterly,0.34
75,WA,Life,7316.27,18224.56,Approved,01-08-2023,31-07-2024,Gold,Annually,0.74
44,TAS,Life,3321.66,6235.97,Approved,03-12-2023,02-12-2024,Premium,Annually,0.53
31,TAS,Travel,500.3,805.29,Rejected,23-10-2024,23-10-2025,Standard,Monthly,0.42
36,QLD,Car,2763.29,2102.35,Approved,30-06-2023,29-06-2024,Standard,Monthly,0.36
22,ACT,Health,3850.78,925.26,Pending,27-01-2024,26-01-2025,Basic,Monthly,0.18
67,QLD,Health,3668.8,5773.23,Approved,18-01-2023,18-01-2024,Gold,Quarterly,0.69
49,NSW,Health,2815.11,6866.22,Approved,29-04-2024,29-04-2025,Premium,Quarterly,0.53
31,WA,Travel,539.32,1321.91,Approved,24-11-2023,23-11-2024,Standard,Monthly,0.58
25,SA,Travel,482.52,147.71,Approved,30-08-2024,30-08-2025,Basic,Monthly,0.2
21,NSW,Travel,1209.02,283.52,Rejected,16-12-2024,16-12-2025,Standard,Monthly,0.16
39,ACT,Travel,990.16,1331.93,Approved,17-06-2023,16-06-2024,Premium,Annually,0.3
27,SA,Car,2394.86,1604.03,Approved,16-11-2023,15-11-2024,Basic,Monthly,0.15
23,NSW,Health,1779.96,372.52,Approved,07-06-2024,07-06-2025,Basic,Monthly,0.16
79,NT,Car,3998.58,13195.65,Approved,08-03-2024,08-03-2025,Gold,Quarterly,0.7
39,TAS,Car,1375.6,658.5,Approved,29-08-2024,29-08-2025,Basic,Monthly,0.43
42,QLD,Home,3373.76,2100.26,Pending,11-12-2023,10-12-2024,Premium,Annually,0.41
21,ACT,Car,3725.75,1267.66,Rejected,27-12-2023,26-12-2024,Basic,Quarterly,0.28
33,SA,Life,2225.33,2990.13,Approved,05-04-2024,05-04-2025,Standard,Quarterly,0.46
24,SA,Home,2558.3,2183.55,Approved,07-10-2024,07-10-2025,Basic,Quarterly,0.26
51,NT,Health,1994.21,4279.14,Rejected,20-05-2024,20-05-2025,Premium,Annually,0.51
29,SA,Travel,954.57,539.3,Rejected,17-04-2023,16-04-2024,Basic,Monthly,0.13
24,TAS,Life,4085.05,3658.17,Approved,22-01-2023,22-01-2024,Standard,Monthly,0.24
53,ACT,Life,4214.94,5490.13,Approved,15-02-2024,14-02-2025,Premium,Annually,0.76
44,SA,Life,3071.2,3696.46,Approved,14-02-2023,14-02-2024,Premium,Quarterly,0.5
35,NSW,Home,3188.08,4926.97,Approved,30-07-2023,29-07-2024,Standard,Quarterly,0.32
21,TAS,Home,4107.39,1592.27,Approved,04-05-2023,03-05-2024,Standard,Monthly,0.28
62,VIC,Health,6798.0,6124.71,Approved,09-01-2023,09-01-2024,Gold,Annually,0.64
31,WA,Car,3525.35,2490.75,Approved,21-04-2023,20-04-2024,Standard,Monthly,0.45
36,TAS,Travel,1497.8,2271.6,Rejected,10-07-2024,10-07-2025,Standard,Monthly,0.36
37,WA,Home,4885.61,2608.76,Approved,25-05-2024,25-05-2025,Premium,Quarterly,0.52
28,ACT,Home,2092.47,447.85,Approved,27-01-2024,26-01-2025,Basic,Monthly,0.15
33,NT,Health,3271.28,1998.18,Pending,21-03-2024,21-03-2025,Basic,Quarterly,0.37
26,NSW,Life,1878.26,548.58,Pending,12-01-2024,11-01-2025,Basic,Quarterly,0.21
31,SA,Travel,964.25,1018.84,Approved,26-12-2023,25-12-2024,Basic,Monthly,0.55
39,WA,Travel,1749.68,3783.85,Approved,26-12-2024,26-12-2025,Standard,Monthly,0.58
28,QLD,Home,3034.16,3047.19,Approved,14-09-2024,14-09-2025,Standard,Monthly,0.25
20,QLD,Car,525.03,97.18,Approved,27-05-2023,26-05-2024,Basic,Monthly,0.14
65,NSW,Home,886.28,1644.3,Rejected,31-12-2023,30-12-2024,Gold,Quarterly,0.77
54,VIC,Travel,2123.25,3514.99,Approved,30-08-2023,29-08-2024,Gold,Annually,0.79
35,TAS,Car,3351.37,7243.74,Approved,29-09-2024,29-09-2025,Basic,Monthly,0.45
66,SA,Home,974.37,997.86,Approved,31-01-2024,30-01-2025,Gold,Quarterly,0.78
23,SA,Health,1927.73,836.88,Approved,24-04-2024,24-04-2025,Standard,Monthly,0.15
68,TAS,Home,5445.64,7595.64,Approved,15-07-2024,15-07-2025,Gold,Annually,0.51
39,SA,Car,2832.04,2206.65,Approved,11-01-2024,10-01-2025,Premium,Annually,0.33
70,NT,Health,6928.71,7959.3,Approved,01-09-2024,01-09-2025,Gold,Annually,0.71
34,WA,Life,4577.2,4646.91,Approved,29-07-2023,28-07-2024,Standard,Monthly,0.39
20,SA,Health,5261.96,4411.5,Approved,09-06-2023,08-06-2024,Standard,Monthly,0.23
62,NT,Life,6110.27,13519.19,Rejected,24-02-2023,24-02-2024,Gold,Annually,0.68
34,VIC,Travel,1525.28,3121.37,Approved,19-10-2024,19-10-2025,Premium,Annually,0.44
39,NT,Car,1539.04,1742.71,Rejected,06-11-2024,06-11-2025,Standard,Quarterly,0.31
38,SA,Life,3386.41,5138.35,Rejected,01-12-2023,30-11-2024,Premium,Quarterly,0.38
34,QLD,Life,4994.45,6921.44,Approved,27-12-2023,26-12-2024,Basic,Monthly,0.37
31,SA,Home,3395.29,2336.75,Approved,18-04-2023,17-04-2024,Basic,Monthly,0.46
51,WA,Life,5689.71,13057.37,Rejected,06-10-2024,06-10-2025,Gold,Quarterly,0.56
31,NT,Car,3085.65,5428.01,Approved,10-03-2023,09-03-2024,Premium,Quarterly,0.49
34,QLD,Home,1402.78,1934.9,Approved,06-07-2024,06-07-2025,Premium,Annually,0.34
68,ACT,Home,4401.9,6356.79,Rejected,07-05-2024,07-05-2025,Gold,Annually,0.7
29,ACT,Life,1261.73,419.7,Approved,12-10-2024,12-10-2025,Basic,Monthly,0.17
39,WA,Home,4328.35,9401.19,Approved,13-08-2024,13-08-2025,Standard,Quarterly,0.49
33,TAS,Home,4608.36,4668.43,Rejected,04-12-2024,04-12-2025,Premium,Annually,0.56
48,TAS,Travel,399.39,507.76,Approved,26-02-2023,26-02-2024,Premium,Annually,0.44
51,WA,Home,2731.81,4988.69,Approved,18-02-2024,17-02-2025,Premium,Quarterly,0.53
29,SA,Life,1629.05,2094.85,Approved,15-01-2024,14-01-2025,Basic,Monthly,0.28
28,VIC,Life,4405.78,1658.7,Rejected,15-10-2024,15-10-2025,Standard,Monthly,0.13
44,NT,Health,1613.53,2097.08,Rejected,17-08-2023,16-08-2024,Premium,Quarterly,0.49
58,TAS,Health,2903.82,5084.76,Rejected,07-04-2024,07-04-2025,Premium,Quarterly,0.8
66,TAS,Home,3786.39,6978.73,Approved,14-09-2024,14-09-2025,Gold,Annually,0.68
36,ACT,Home,3243.37,7340.09,Pending,21-07-2023,20-07-2024,Basic,Monthly,0.56
51,NSW,Life,5220.18,3115.27,Rejected,02-06-2023,01-06-2024,Gold,Annually,0.55
35,NSW,Car,2114.76,1932.55,Approved,12-02-2024,11-02-2025,Standard,Quarterly,0.33
56,NSW,Health,5715.14,7281.42,Pending,23-02-2023,23-02-2024,Premium,Quarterly,0.75
67,VIC,Car,4414.2,7931.54,Approved,10-02-2023,10-02-2024,Gold,Annually,0.76
64,QLD,Car,5380.35,11453.78,Approved,06-10-2023,05-10-2024,Gold,Quarterly,0.74
56,WA,Health,2023.14,4967.96,Pending,30-03-2024,30-03-2025,Gold,Annually,0.54
66,NT,Car,3810.59,10391.27,Pending,29-01-2023,29-01-2024,Gold,Quarterly,0.71
58,SA,Health,1439.18,2360.5,Pending,06-01-2023,06-01-2024,Premium,Annually,0.68
36,QLD,Health,4705.86,4663.74,Approved,23-02-2023,23-02-2024,Basic,Monthly,0.37
52,WA,Travel,1790.09,3537.43,Pending,23-03-2024,23-03-2025,Gold,Quarterly,0.79
21,NSW,Car,3968.34,4008.56,Approved,26-08-2023,25-08-2024,Standard,Monthly,0.29
44,VIC,Home,1548.31,756.71,Approved,05-05-2023,04-05-2024,Premium,Annually,0.48
33,NT,Car,2656.97,5316.49,Approved,10-06-2024,10-06-2025,Standard,Monthly,0.46
30,TAS,Home,915.31,471.75,Approved,13-09-2023,12-09-2024,Standard,Monthly,0.26
45,TAS,Travel,2427.78,2792.78,Pending,04-05-2023,03-05-2024,Premium,Quarterly,0.54
46,NT,Car,3754.57,7614.54,Approved,03-03-2024,03-03-2025,Premium,Annually,0.43
37,NSW,Car,1489.18,694.12,Rejected,23-06-2024,23-06-2025,Basic,Monthly,0.34
52,WA,Life,5736.77,3699.15,Approved,14-12-2023,13-12-2024,Premium,Annually,0.6
58,NSW,Car,4962.05,11783.77,Approved,27-02-2024,26-02-2025,Premium,Annually,0.69
51,ACT,Health,3735.59,7874.01,Approved,07-03-2023,06-03-2024,Gold,Quarterly,0.55
76,TAS,Home,4290.23,12809.4,Rejected,25-08-2023,24-08-2024,Gold,Annually,0.93
28,WA,Car,2667.14,2800.66,Approved,06-06-2024,06-06-2025,Basic,Quarterly,0.22
27,SA,Travel,551.32,415.55,Approved,31-05-2024,31-05-2025,Basic,Quarterly,0.26
51,NSW,Travel,2233.11,4763.71,Approved,24-05-2023,23-05-2024,Premium,Annually,0.68
53,SA,Car,3710.82,9770.76,Approved,18-12-2023,17-12-2024,Premium,Annually,0.61
29,TAS,Travel,677.53,402.82,Rejected,18-11-2023,17-11-2024,Basic,Monthly,0.26
36,TAS,Life,4758.91,12362.6,Approved,20-10-2023,19-10-2024,Basic,Quarterly,0.55
35,WA,Home,2277.78,1881.2,Approved,17-01-2023,17-01-2024,Premium,Annually,0.57
74,WA,Travel,1438.35,3604.87,Rejected,26-02-2024,25-02-2025,Gold,Quarterly,0.93
35,NSW,Life,1643.61,1415.93,Approved,29-07-2023,28-07-2024,Basic,Quarterly,0.41
28,WA,Car,511.86,114.71,Approved,21-03-2024,21-03-2025,Basic,Monthly,0.18
33,QLD,Life,5689.48,8027.65,Approved,01-06-2023,31-05-2024,Premium,Annually,0.33
23,NSW,Health,3490.67,1125.15,Rejected,06-11-2024,06-11-2025,Basic,Monthly,0.17
31,WA,Home,1227.06,1971.37,Approved,05-01-2024,04-01-2025,Basic,Monthly,0.47
38,ACT,Travel,1253.64,894.15,Rejected,17-11-2023,16-11-2024,Standard,Quarterly,0.44
48,QLD,Health,3711.98,3427.16,Approved,03-09-2024,03-09-2025,Premium,Quarterly,0.34
33,NSW,Health,4697.64,2597.73,Approved,18-02-2023,18-02-2024,Standard,Monthly,0.31
57,ACT,Life,3841.73,4004.22,Approved,13-11-2024,13-11-2025,Gold,Quarterly,0.76
54,SA,Health,2391.68,5992.47,Approved,22-03-2023,21-03-2024,Premium,Quarterly,0.78
57,QLD,Life,1804.15,4708.84,Approved,08-11-2024,08-11-2025,Premium,Quarterly,0.56
36,NSW,Life,2443.98,5381.11,Approved,26-09-2023,25-09-2024,Standard,Monthly,0.49
54,ACT,Life,1869.42,1876.16,Approved,28-06-2024,28-06-2025,Gold,Annually,0.66
79,QLD,Life,3433.99,7982.18,Approved,16-06-2024,16-06-2025,Gold,Quarterly,0.91
30,VIC,Car,2117.77,1612.21,Approved,16-11-2023,15-11-2024,Basic,Quarterly,0.17
22,QLD,Travel,1354.9,959.7,Pending,30-06-2023,29-06-2024,Basic,Monthly,0.16
34,SA,Home,1235.97,2178.17,Approved,12-10-2024,12-10-2025,Basic,Monthly,0.54
29,WA,Home,2306.66,2963.65,Approved,19-01-2024,18-01-2025,Standard,Monthly,0.27
35,QLD,Car,3015.85,2522.78,Approved,08-09-2023,07-09-2024,Basic,Quarterly,0.44
70,NT,Health,3521.23,3408.29,Rejected,31-07-2024,31-07-2025,Gold,Annually,0.6
46,VIC,Health,1593.71,3006.58,Approved,15-06-2024,15-06-2025,Premium,Annually,0.43
38,TAS,Life,3115.67,4960.48,Approved,21-01-2023,21-01-2024,Standard,Monthly,0.56
55,ACT,Home,5520.57,3320.58,Approved,22-05-2023,21-05-2024,Gold,Quarterly,0.5
55,TAS,Health,6048.73,18791.0,Rejected,03-03-2023,02-03-2024,Gold,Annually,0.75
35,ACT,Life,3767.61,6518.62,Approved,02-07-2023,01-07-2024,Basic,Monthly,0.45
22,NT,Travel,1151.03,636.97,Pending,16-05-2024,16-05-2025,Standard,Monthly,0.26
35,TAS,Travel,1722.22,904.27,Rejected,21-05-2024,21-05-2025,Basic,Monthly,0.47
36,SA,Car,648.66,930.03,Approved,27-12-2023,26-12-2024,Standard,Monthly,0.52
27,QLD,Life,2469.55,3072.33,Approved,06-06-2024,06-06-2025,Basic,Quarterly,0.28
36,NSW,Travel,1683.5,2548.26,Approved,01-11-2024,01-11-2025,Basic,Quarterly,0.6
20,NSW,Travel,727.44,869.97,Approved,29-02-2024,28-02-2025,Basic,Monthly,0.26
37,QLD,Car,1913.51,1967.63,Approved,21-06-2023,20-06-2024,Basic,Monthly,0.45
54,NSW,Travel,1815.78,2269.4,Approved,18-01-2024,17-01-2025,Gold,Quarterly,0.62
58,NT,Health,1447.6,3694.99,Approved,06-06-2024,06-06-2025,Premium,Annually,0.73
25,ACT,Home,661.66,711.83,Approved,22-05-2024,22-05-2025,Standard,Quarterly,0.27
58,QLD,Life,2853.96,6517.94,Rejected,27-04-2023,26-04-2024,Gold,Quarterly,0.64
30,SA,Home,3842.69,2526.94,Rejected,12-08-2024,12-08-2025,Standard,Quarterly,0.18
32,QLD,Car,2929.51,2789.16,Approved,10-06-2024,10-06-2025,Basic,Monthly,0.36
33,VIC,Car,3138.95,1973.82,Approved,22-12-2024,22-12-2025,Standard,Monthly,0.48
63,WA,Car,2420.2,5218.92,Approved,04-08-2024,04-08-2025,Gold,Annually,0.56
31,WA,Travel,2442.26,4297.6,Approved,20-09-2024,20-09-2025,Premium,Quarterly,0.52
31,ACT,Life,5020.15,6399.41,Approved,15-10-2024,15-10-2025,Premium,Annually,0.38
31,VIC,Travel,348.8,668.14,Approved,05-12-2024,05-12-2025,Standard,Monthly,0.55
37,SA,Health,4277.45,6909.07,Approved,07-07-2024,07-07-2025,Premium,Annually,0.41
34,VIC,Car,3284.67,5961.46,Approved,29-03-2023,28-03-2024,Premium,Quarterly,0.37
73,WA,Car,2947.99,3479.5,Rejected,27-11-2024,27-11-2025,Gold,Quarterly,0.74
31,VIC,Car,3598.84,1379.51,Rejected,01-05-2024,01-05-2025,Premium,Annually,0.36
70,SA,Car,2327.91,6039.58,Pending,12-06-2024,12-06-2025,Gold,Annually,0.66
34,VIC,Home,2595.68,6437.17,Approved,19-08-2023,18-08-2024,Premium,Annually,0.56
32,TAS,Life,1789.24,2911.79,Approved,05-12-2024,05-12-2025,Premium,Annually,0.54
39,WA,Life,4519.0,2759.59,Rejected,06-07-2024,06-07-2025,Standard,Monthly,0.56
34,NSW,Travel,1829.04,1305.67,Approved,13-04-2024,13-04-2025,Basic,Monthly,0.48
54,ACT,Travel,433.21,1013.67,Approved,29-05-2023,28-05-2024,Premium,Annually,0.68
40,ACT,Health,2318.71,1319.94,Pending,25-02-2023,25-02-2024,Premium,Annually,0.32
31,VIC,Car,2794.35,3456.22,Approved,26-04-2023,25-04-2024,Standard,Monthly,0.45
70,TAS,Car,2612.8,6011.91,Approved,03-04-2024,03-04-2025,Gold,Annually,0.59
47,WA,Car,4684.34,5768.66,Approved,21-07-2023,20-07-2024,Premium,Quarterly,0.31
51,ACT,Life,5171.1,3688.82,Approved,10-11-2024,10-11-2025,Gold,Annually,0.66
33,TAS,Health,5704.96,12226.41,Approved,04-11-2023,03-11-2024,Premium,Annually,0.56
55,TAS,Health,2183.65,5999.22,Approved,18-06-2023,17-06-2024,Premium,Annually,0.73
51,SA,Car,5118.78,10236.57,Approved,28-12-2024,28-12-2025,Premium,Annually,0.65
77,ACT,Home,3370.85,4745.45,Approved,22-07-2024,22-07-2025,Gold,Annually,0.9
37,TAS,Car,2463.67,3725.43,Rejected,06-12-2023,05-12-2024,Basic,Monthly,0.44
33,NSW,Life,4244.24,8068.74,Rejected,30-08-2023,29-08-2024,Basic,Monthly,0.41
38,SA,Car,2220.02,4987.75,Rejected,10-05-2024,10-05-2025,Premium,Annually,0.6
22,VIC,Travel,467.67,188.01,Approved,23-08-2024,23-08-2025,Basic,Monthly,0.1
33,ACT,Car,1780.37,3063.49,Rejected,06-07-2023,05-07-2024,Standard,Monthly,0.48
45,TAS,Car,3092.95,2923.92,Approved,09-06-2023,08-06-2024,Premium,Quarterly,0.55
22,NT,Health,3611.18,2719.42,Approved,13-07-2023,12-07-2024,Basic,Quarterly,0.26
55,VIC,Home,1080.9,3148.5,Pending,06-04-2023,05-04-2024,Gold,Annually,0.7
39,QLD,Home,1828.01,1970.44,Rejected,03-02-2024,02-02-2025,Premium,Annually,0.35
25,VIC,Health,5372.3,3420.51,Approved,18-05-2024,18-05-2025,Standard,Monthly,0.21
71,QLD,Health,6252.53,19895.41,Rejected,13-04-2024,13-04-2025,Gold,Annually,0.84
60,SA,Health,5465.94,5555.41,Approved,15-10-2023,14-10-2024,Gold,Annually,0.73
65,ACT,Travel,995.34,2826.21,Approved,15-07-2024,15-07-2025,Gold,Annually,0.65
27,NT,Home,1157.41,339.52,Rejected,29-06-2024,29-06-2025,Standard,Quarterly,0.17
28,NSW,Travel,1638.09,619.13,Rejected,14-09-2024,14-09-2025,Standard,Quarterly,0.12
72,VIC,Car,5278.39,15594.07,Rejected,17-11-2024,17-11-2025,Gold,Annually,0.71
50,TAS,Health,2881.66,3797.56,Rejected,08-01-2023,08-01-2024,Premium,Annually,0.57
32,VIC,Home,3729.04,3614.54,Approved,08-01-2024,07-01-2025,Premium,Annually,0.51
38,TAS,Health,4923.29,8630.35,Rejected,17-04-2023,16-04-2024,Standard,Monthly,0.53
27,NSW,Life,5305.04,1806.34,Pending,17-10-2024,17-10-2025,Standard,Monthly,0.21
32,QLD,Health,2097.66,2642.24,Approved,29-06-2023,28-06-2024,Standard,Quarterly,0.53
38,ACT,Health,4310.14,7068.74,Pending,04-11-2023,03-11-2024,Premium,Annually,0.36
26,VIC,Home,2997.18,1657.59,Approved,03-11-2024,03-11-2025,Basic,Monthly,0.2
26,TAS,Home,2195.7,1642.69,Rejected,09-11-2024,09-11-2025,Basic,Monthly,0.17
76,TAS,Home,2093.18,5636.52,Approved,12-08-2024,12-08-2025,Gold,Quarterly,0.7
38,TAS,Health,3299.03,5230.78,Approved,05-04-2024,05-04-2025,Basic,Monthly,0.55
33,QLD,Health,3624.7,2814.47,Pending,26-12-2024,26-12-2025,Basic,Monthly,0.38
37,TAS,Travel,2517.11,3624.66,Approved,24-09-2023,23-09-2024,Premium,Annually,0.56
45,TAS,Health,5263.43,13611.88,Approved,26-02-2023,26-02-2024,Premium,Annually,0.55
35,SA,Home,1174.69,1060.02,Rejected,03-10-2023,02-10-2024,Premium,Quarterly,0.37
51,NT,Car,4911.78,8701.66,Approved,20-07-2024,20-07-2025,Gold,Annually,0.57
34,ACT,Life,1683.34,759.39,Approved,30-11-2024,30-11-2025,Premium,Annually,0.3
73,VIC,Life,7015.22,23701.46,Approved,29-08-2024,29-08-2025,Gold,Annually,0.92
78,NT,Home,1745.09,5316.92,Rejected,02-12-2024,02-12-2025,Gold,Annually,0.76
31,WA,Health,1484.34,1395.07,Approved,28-03-2023,27-03-2024,Basic,Monthly,0.33
33,ACT,Life,1814.53,4453.2,Approved,07-04-2024,07-04-2025,Standard,Monthly,0.54
24,WA,Home,2464.39,777.93,Approved,17-10-2023,16-10-2024,Basic,Monthly,0.21
24,SA,Health,2528.2,2066.97,Approved,08-05-2024,08-05-2025,Standard,Monthly,0.18
36,SA,Life,4963.26,10209.67,Approved,09-11-2024,09-11-2025,Standard,Monthly,0.55
76,QLD,Travel,879.11,2433.17,Rejected,16-06-2024,16-06-2025,Gold,Quarterly,0.83
77,WA,Car,3827.88,10285.22,Rejected,08-04-2024,08-04-2025,Gold,Annually,0.75
21,QLD,Travel,708.16,374.58,Approved,26-08-2023,25-08-2024,Basic,Monthly,0.24
39,TAS,Travel,600.37,276.0,Approved,14-09-2024,14-09-2025,Basic,Monthly,0.34
68,WA,Home,3350.55,8145.3,Approved,05-11-2023,04-11-2024,Gold,Annually,0.64
27,NSW,Life,1372.92,1160.85,Approved,25-11-2023,24-11-2024,Standard,Monthly,0.22
34,QLD,Life,2528.32,5321.72,Approved,06-07-2023,05-07-2024,Standard,Monthly,0.53
31,NT,Car,1210.56,2043.35,Approved,22-01-2023,22-01-2024,Basic,Monthly,0.57
56,QLD,Home,662.47,2263.06,Approved,17-07-2023,16-07-2024,Premium,Annually,0.72
64,QLD,Home,4934.49,4982.74,Approved,23-08-2023,22-08-2024,Gold,Annually,0.7
76,VIC,Travel,677.14,983.19,Rejected,14-03-2023,13-03-2024,Gold,Quarterly,0.79
53,TAS,Car,1678.45,1982.79,Approved,23-04-2024,23-04-2025,Gold,Quarterly,0.54
37,QLD,Home,3225.03,4186.46,Approved,12-04-2024,12-04-2025,Premium,Annually,0.31
25,SA,Home,2203.11,2245.03,Approved,25-08-2024,25-08-2025,Basic,Monthly,0.22
56,NSW,Health,3511.69,2867.81,Rejected,10-05-2023,09-05-2024,Premium,Annually,0.52
34,SA,Home,2547.8,966.74,Approved,29-08-2023,28-08-2024,Basic,Quarterly,0.37
29,NSW,Health,3191.79,3658.87,Approved,27-11-2024,27-11-2025,Basic,Monthly,0.28
39,ACT,Health,2975.89,3443.89,Approved,06-12-2023,05-12-2024,Standard,Quarterly,0.58
36,WA,Health,2472.9,1535.2,Approved,08-09-2024,08-09-2025,Basic,Monthly,0.55
35,TAS,Car,680.03,1546.32,Approved,12-11-2024,12-11-2025,Standard,Monthly,0.58
63,TAS,Home,3007.77,5756.7,Approved,09-07-2024,09-07-2025,Gold,Annually,0.8
65,NSW,Home,5863.47,17393.89,Rejected,09-11-2023,08-11-2024,Gold,Quarterly,0.64
32,TAS,Travel,1165.93,1082.7,Approved,08-11-2023,07-11-2024,Standard,Monthly,0.5
33,ACT,Life,1367.73,2620.31,Approved,30-05-2023,29-05-2024,Basic,Monthly,0.48
52,WA,Car,5039.74,4513.07,Approved,20-05-2023,19-05-2024,Premium,Quarterly,0.77
35,NT,Travel,1293.84,2241.71,Approved,13-07-2024,13-07-2025,Standard,Monthly,0.55
41,TAS,Travel,565.8,1048.21,Approved,20-09-2023,19-09-2024,Premium,Annually,0.57
57,VIC,Travel,1473.38,1438.15,Approved,27-06-2023,26-06-2024,Gold,Annually,0.73
62,QLD,Home,2162.55,5449.56,Approved,23-07-2024,23-07-2025,Gold,Annually,0.51
38,ACT,Travel,957.25,1712.01,Approved,08-08-2023,07-08-2024,Basic,Monthly,0.49
51,NT,Travel,2390.93,3431.19,Rejected,09-04-2024,09-04-2025,Premium,Annually,0.63
40,VIC,Life,4012.42,6622.05,Approved,21-05-2024,21-05-2025,Premium,Quarterly,0.48
69,QLD,Life,5237.62,19384.49,Rejected,28-05-2024,28-05-2025,Gold,Annually,0.77
26,NT,Health,1429.24,180.3,Approved,12-12-2023,11-12-2024,Standard,Monthly,0.11
44,NT,Travel,1801.57,3179.88,Approved,16-10-2024,16-10-2025,Premium,Annually,0.59
41,SA,Travel,622.58,1385.37,Rejected,01-10-2023,30-09-2024,Premium,Annually,0.48
25,WA,Travel,1889.55,1713.91,Approved,14-08-2024,14-08-2025,Basic,Quarterly,0.27
65,SA,Travel,1028.93,3017.36,Approved,31-08-2024,31-08-2025,Gold,Quarterly,0.72
30,QLD,Travel,470.57,357.16,Pending,09-08-2024,09-08-2025,Standard,Monthly,0.29
35,TAS,Life,1196.76,1124.9,Approved,28-11-2024,28-11-2025,Basic,Monthly,0.34
56,QLD,Health,5250.84,11714.42,Approved,18-02-2023,18-02-2024,Premium,Annually,0.6
66,QLD,Car,3853.42,7712.06,Approved,26-05-2024,26-05-2025,Gold,Annually,0.57
31,NSW,Car,2539.79,3517.02,Approved,11-12-2023,10-12-2024,Standard,Quarterly,0.35
75,QLD,Health,1750.95,5988.48,Approved,08-07-2024,08-07-2025,Gold,Annually,0.74
40,QLD,Travel,908.91,727.67,Approved,07-10-2023,06-10-2024,Premium,Annually,0.34
50,ACT,Travel,730.15,1433.35,Rejected,24-10-2023,23-10-2024,Gold,Annually,0.52
23,ACT,Car,534.59,226.36,Rejected,14-04-2023,13-04-2024,Basic,Quarterly,0.18
70,NT,Car,5675.22,12864.33,Approved,17-01-2023,17-01-2024,Gold,Quarterly,0.71
52,WA,Home,5182.62,4789.26,Approved,08-03-2024,08-03-2025,Gold,Annually,0.72
53,NT,Health,3739.48,3866.03,Pending,30-07-2023,29-07-2024,Premium,Annually,0.59
33,VIC,Home,1262.19,2050.73,Approved,28-03-2023,27-03-2024,Basic,Monthly,0.48
36,QLD,Car,1858.17,4330.48,Rejected,21-04-2023,20-04-2024,Premium,Annually,0.47
44,NT,Health,4171.47,4372.59,Pending,07-03-2023,06-03-2024,Premium,Annually,0.52
74,SA,Life,2472.6,5946.48,Approved,28-05-2024,28-05-2025,Gold,Quarterly,0.92
27,TAS,Travel,648.03,337.49,Rejected,11-03-2023,10-03-2024,Standard,Monthly,0.13
39,NT,Travel,1928.55,5171.13,Approved,30-12-2023,29-12-2024,Standard,Quarterly,0.6
